Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate
2014,10004,020010000,TOWN   BARRINGTON,0.032,11.305
2014,10004,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,11.305
2014,10004,020010003,ROAD AND BRIDGE BARRINGTON,0.000,11.305
2014,10004,030040000,VILLAGE OF   BARRINGTON HILLS,1.796,11.305
2014,10004,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.638,11.305
2014,10004,044070000,SCHOOL DISTRICT UNIT  300,6.753,11.305
2014,10004,050030000,BARRINGTON HILLS PARK DISTRICT,0.054,11.305
2014,10004,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,11.305
2014,10004,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.123,11.305
2014,10004,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,11.305
2014,10005,010010000,COUNTY OF COOK,0.568,9.096
2014,10005,010010001,CONSOLIDATED ELECTIONS,0.000,9.096
2014,10005,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,9.096
2014,10005,020010000,TOWN   BARRINGTON,0.032,9.096
2014,10005,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,9.096
2014,10005,020010003,ROAD AND BRIDGE BARRINGTON,0.000,9.096
2014,10005,030040000,VILLAGE OF   BARRINGTON HILLS,1.796,9.096
2014,10005,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,9.096
2014,10005,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,9.096
2014,10005,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,9.096
2014,10005,050040000,BARRINGTON PARK DISTRICT,0.867,9.096
2014,10005,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,9.096
2014,10005,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,9.096
2014,10009,010010000,COUNTY OF COOK,0.568,6.973
2014,10009,010010001,CONSOLIDATED ELECTIONS,0.000,6.973
2014,10009,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,6.973
2014,10009,020010000,TOWN   BARRINGTON,0.032,6.973
2014,10009,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,6.973
2014,10009,020010003,ROAD AND BRIDGE BARRINGTON,0.000,6.973
2014,10009,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,6.973
2014,10009,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,6.973
2014,10009,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,6.973
2014,10009,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,6.973
2014,10009,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,6.973
2014,10009,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,6.973
2014,10012,010010000,COUNTY OF COOK,0.568,7.593
2014,10012,010010001,CONSOLIDATED ELECTIONS,0.000,7.593
2014,10012,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,7.593
2014,10012,020010000,TOWN   BARRINGTON,0.032,7.593
2014,10012,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,7.593
2014,10012,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.593
2014,10012,030630000,VILLAGE OF INVERNESS,0.620,7.593
2014,10012,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,7.593
2014,10012,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,7.593
2014,10012,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,7.593
2014,10012,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,7.593
2014,10012,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,7.593
2014,10012,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,7.593
2014,10013,010010000,COUNTY OF COOK,0.568,8.872
2014,10013,010010001,CONSOLIDATED ELECTIONS,0.000,8.872
2014,10013,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,8.872
2014,10013,020010000,TOWN   BARRINGTON,0.032,8.872
2014,10013,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,8.872
2014,10013,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.872
2014,10013,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.638,8.872
2014,10013,044070000,SCHOOL DISTRICT UNIT  300,6.753,8.872
2014,10013,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,8.872
2014,10013,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,8.872
2014,10013,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,8.872
2014,10015,010010000,COUNTY OF COOK,0.568,7.556
2014,10015,010010001,CONSOLIDATED ELECTIONS,0.000,7.556
2014,10015,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,7.556
2014,10015,020010000,TOWN   BARRINGTON,0.032,7.556
2014,10015,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,7.556
2014,10015,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.556
2014,10015,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,7.556
2014,10015,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,7.556
2014,10015,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,7.556
2014,10015,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,7.556
2014,10015,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.123,7.556
2014,10015,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,7.556
2014,10018,010010000,COUNTY OF COOK,0.568,6.433
2014,10018,010010001,CONSOLIDATED ELECTIONS,0.000,6.433
2014,10018,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,6.433
2014,10018,020010000,TOWN   BARRINGTON,0.032,6.433
2014,10018,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,6.433
2014,10018,020010003,ROAD AND BRIDGE BARRINGTON,0.000,6.433
2014,10018,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,6.433
2014,10018,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,6.433
2014,10018,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,6.433
2014,10018,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,6.433
2014,10018,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,6.433
2014,10019,010010000,COUNTY OF COOK,0.568,11.793
2014,10019,010010001,CONSOLIDATED ELECTIONS,0.000,11.793
2014,10019,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,11.793
2014,10019,020010000,TOWN   BARRINGTON,0.032,11.793
2014,10019,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,11.793
2014,10019,020010003,ROAD AND BRIDGE BARRINGTON,0.000,11.793
2014,10019,030580000,VILLAGE OF   HOFFMAN ESTATES,1.443,11.793
2014,10019,030580500,TIF VIL OF HOFFMAN ESTATES-SEARS,0.000,11.793
2014,10019,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.638,11.793
2014,10019,044010000,SCHOOL DISTRICT 46,7.668,11.793
2014,10019,050480000,HOFFMAN ESTATES PARK DISTRICT,0.673,11.793
2014,10019,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,11.793
2014,10019,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.430,11.793
2014,10019,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,11.793
2014,10021,010010000,COUNTY OF COOK,0.568,8.017
2014,10021,010010001,CONSOLIDATED ELECTIONS,0.000,8.017
2014,10021,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,8.017
2014,10021,020010000,TOWN   BARRINGTON,0.032,8.017
2014,10021,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,8.017
2014,10021,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.017
2014,10021,030030000,VILLAGE OF   BARRINGTON,0.717,8.017
2014,10021,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,8.017
2014,10021,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,8.017
2014,10021,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,8.017
2014,10021,050040000,BARRINGTON PARK DISTRICT,0.867,8.017
2014,10021,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,8.017
2014,10021,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,8.017
2014,10030,010010000,COUNTY OF COOK,0.568,9.375
2014,10030,010010001,CONSOLIDATED ELECTIONS,0.000,9.375
2014,10030,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,9.375
2014,10030,020010000,TOWN   BARRINGTON,0.032,9.375
2014,10030,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,9.375
2014,10030,020010003,ROAD AND BRIDGE BARRINGTON,0.000,9.375
2014,10030,030630000,VILLAGE OF INVERNESS,0.620,9.375
2014,10030,040030000,SCHOOL DISTRICT C C  15,3.868,9.375
2014,10030,042130000,PALATINE TOWNSHIP HIGH SCHOOL  211,3.213,9.375
2014,10030,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,9.375
2014,10030,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,9.375
2014,10030,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,9.375
2014,10032,010010000,COUNTY OF COOK,0.568,9.455
2014,10032,010010001,CONSOLIDATED ELECTIONS,0.000,9.455
2014,10032,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,9.455
2014,10032,020010000,TOWN   BARRINGTON,0.032,9.455
2014,10032,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,9.455
2014,10032,020010003,ROAD AND BRIDGE BARRINGTON,0.000,9.455
2014,10032,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.638,9.455
2014,10032,044070000,SCHOOL DISTRICT UNIT  300,6.753,9.455
2014,10032,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,9.455
2014,10032,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.123,9.455
2014,10032,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,9.455
2014,10035,010010000,COUNTY OF COOK,0.568,8.823
2014,10035,010010001,CONSOLIDATED ELECTIONS,0.000,8.823
2014,10035,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,8.823
2014,10035,020010000,TOWN   BARRINGTON,0.032,8.823
2014,10035,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,8.823
2014,10035,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.823
2014,10035,030040000,VILLAGE OF   BARRINGTON HILLS,1.796,8.823
2014,10035,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,8.823
2014,10035,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,8.823
2014,10035,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,8.823
2014,10035,050030000,BARRINGTON HILLS PARK DISTRICT,0.054,8.823
2014,10035,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,8.823
2014,10035,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,8.823
2014,10035,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,8.823
2014,10038,010010000,COUNTY OF COOK,0.568,8.171
2014,10038,010010001,CONSOLIDATED ELECTIONS,0.000,8.171
2014,10038,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,8.171
2014,10038,020010000,TOWN   BARRINGTON,0.032,8.171
2014,10038,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,8.171
2014,10038,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.171
2014,10038,031180000,VILLAGE OF   SOUTH BARRINGTON,0.626,8.171
2014,10038,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,8.171
2014,10038,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,8.171
2014,10038,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,8.171
2014,10038,050980000,SOUTH BARRINGTON PARK DISTRICT,0.282,8.171
2014,10038,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,8.171
2014,10038,070190000,HOFFMAN ESTATES FIRE PROTECTION DIST 1,0.400,8.171
2014,10038,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.430,8.171
2014,10038,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,8.171
2014,10039,010010000,COUNTY OF COOK,0.568,9.636
2014,10039,010010001,CONSOLIDATED ELECTIONS,0.000,9.636
2014,10039,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,9.636
2014,10039,020010000,TOWN   BARRINGTON,0.032,9.636
2014,10039,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,9.636
2014,10039,020010003,ROAD AND BRIDGE BARRINGTON,0.000,9.636
2014,10039,030040000,VILLAGE OF   BARRINGTON HILLS,1.796,9.636
2014,10039,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,9.636
2014,10039,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,9.636
2014,10039,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,9.636
2014,10039,050040000,BARRINGTON PARK DISTRICT,0.867,9.636
2014,10039,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,9.636
2014,10039,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,9.636
2014,10039,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,9.636
2014,10040,010010000,COUNTY OF COOK,0.568,10.722
2014,10040,010010001,CONSOLIDATED ELECTIONS,0.000,10.722
2014,10040,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,10.722
2014,10040,020010000,TOWN   BARRINGTON,0.032,10.722
2014,10040,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,10.722
2014,10040,020010003,ROAD AND BRIDGE BARRINGTON,0.000,10.722
2014,10040,030040000,VILLAGE OF   BARRINGTON HILLS,1.796,10.722
2014,10040,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.638,10.722
2014,10040,044070000,SCHOOL DISTRICT UNIT  300,6.753,10.722
2014,10040,050030000,BARRINGTON HILLS PARK DISTRICT,0.054,10.722
2014,10040,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,10.722
2014,10040,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,10.722
2014,10040,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,10.722
2014,10041,010010000,COUNTY OF COOK,0.568,7.881
2014,10041,010010001,CONSOLIDATED ELECTIONS,0.000,7.881
2014,10041,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,7.881
2014,10041,020010000,TOWN   BARRINGTON,0.032,7.881
2014,10041,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,7.881
2014,10041,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.881
2014,10041,031180000,VILLAGE OF   SOUTH BARRINGTON,0.626,7.881
2014,10041,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,7.881
2014,10041,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,7.881
2014,10041,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,7.881
2014,10041,050980000,SOUTH BARRINGTON PARK DISTRICT,0.282,7.881
2014,10041,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,7.881
2014,10041,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,7.881
2014,10041,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,7.881
2014,10042,010010000,COUNTY OF COOK,0.568,11.167
2014,10042,010010001,CONSOLIDATED ELECTIONS,0.000,11.167
2014,10042,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,11.167
2014,10042,020010000,TOWN   BARRINGTON,0.032,11.167
2014,10042,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,11.167
2014,10042,020010003,ROAD AND BRIDGE BARRINGTON,0.000,11.167
2014,10042,031180000,VILLAGE OF   SOUTH BARRINGTON,0.626,11.167
2014,10042,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.638,11.167
2014,10042,044070000,SCHOOL DISTRICT UNIT  300,6.753,11.167
2014,10042,050980000,SOUTH BARRINGTON PARK DISTRICT,0.282,11.167
2014,10042,060390000,POPLAR CREEK PUBLIC LIBRARY DISTRICT,0.632,11.167
2014,10042,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.123,11.167
2014,10042,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.430,11.167
2014,10042,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,11.167
2014,10043,010010000,COUNTY OF COOK,0.568,8.464
2014,10043,010010001,CONSOLIDATED ELECTIONS,0.000,8.464
2014,10043,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,8.464
2014,10043,020010000,TOWN   BARRINGTON,0.032,8.464
2014,10043,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,8.464
2014,10043,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.464
2014,10043,031180000,VILLAGE OF   SOUTH BARRINGTON,0.626,8.464
2014,10043,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,8.464
2014,10043,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,8.464
2014,10043,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,8.464
2014,10043,050980000,SOUTH BARRINGTON PARK DISTRICT,0.282,8.464
2014,10043,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,8.464
2014,10043,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.123,8.464
2014,10043,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,8.464
2014,10044,010010000,COUNTY OF COOK,0.568,7.341
2014,10044,010010001,CONSOLIDATED ELECTIONS,0.000,7.341
2014,10044,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,7.341
2014,10044,020010000,TOWN   BARRINGTON,0.032,7.341
2014,10044,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,7.341
2014,10044,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.341
2014,10044,031180000,VILLAGE OF   SOUTH BARRINGTON,0.626,7.341
2014,10044,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,7.341
2014,10044,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,7.341
2014,10044,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,7.341
2014,10044,050980000,SOUTH BARRINGTON PARK DISTRICT,0.282,7.341
2014,10044,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.258,7.341
2014,10044,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,7.341
2014,10048,010010000,COUNTY OF COOK,0.568,11.252
2014,10048,010010001,CONSOLIDATED ELECTIONS,0.000,11.252
2014,10048,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,11.252
2014,10048,020010000,TOWN   BARRINGTON,0.032,11.252
2014,10048,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,11.252
2014,10048,020010003,ROAD AND BRIDGE BARRINGTON,0.000,11.252
2014,10048,030580000,VILLAGE OF   HOFFMAN ESTATES,1.443,11.252
2014,10048,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.638,11.252
2014,10048,044070000,SCHOOL DISTRICT UNIT  300,6.753,11.252
2014,10048,050480000,HOFFMAN ESTATES PARK DISTRICT,0.673,11.252
2014,10048,060390000,POPLAR CREEK PUBLIC LIBRARY DISTRICT,0.632,11.252
2014,10048,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.430,11.252
2014,10048,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,11.252
2014,10053,010010000,COUNTY OF COOK,0.568,8.053
2014,10053,010010001,CONSOLIDATED ELECTIONS,0.000,8.053
2014,10053,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,8.053
2014,10053,020010000,TOWN   BARRINGTON,0.032,8.053
2014,10053,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,8.053
2014,10053,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.053
2014,10053,031180000,VILLAGE OF   SOUTH BARRINGTON,0.626,8.053
2014,10053,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,8.053
2014,10053,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,8.053
2014,10053,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,8.053
2014,10053,050980000,SOUTH BARRINGTON PARK DISTRICT,0.282,8.053
2014,10053,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,8.053
2014,10053,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.430,8.053
2014,10053,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,8.053
2014,10054,010010000,COUNTY OF COOK,0.568,9.268
2014,10054,010010001,CONSOLIDATED ELECTIONS,0.000,9.268
2014,10054,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,9.268
2014,10054,020010000,TOWN   BARRINGTON,0.032,9.268
2014,10054,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,9.268
2014,10054,020010003,ROAD AND BRIDGE BARRINGTON,0.000,9.268
2014,10054,031180000,VILLAGE OF   SOUTH BARRINGTON,0.626,9.268
2014,10054,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,9.268
2014,10054,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,9.268
2014,10054,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,9.268
2014,10054,050980000,SOUTH BARRINGTON PARK DISTRICT,0.282,9.268
2014,10054,060390000,POPLAR CREEK PUBLIC LIBRARY DISTRICT,0.632,9.268
2014,10054,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.123,9.268
2014,10054,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.430,9.268
2014,10054,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,9.268
2014,10055,010010000,COUNTY OF COOK,0.568,7.623
2014,10055,010010001,CONSOLIDATED ELECTIONS,0.000,7.623
2014,10055,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,7.623
2014,10055,020010000,TOWN   BARRINGTON,0.032,7.623
2014,10055,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,7.623
2014,10055,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.623
2014,10055,031180000,VILLAGE OF   SOUTH BARRINGTON,0.626,7.623
2014,10055,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.451,7.623
2014,10055,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.953,7.623
2014,10055,044030010,LAKE CO TAX OBJ CT ORD-220,0.088,7.623
2014,10055,050980000,SOUTH BARRINGTON PARK DISTRICT,0.282,7.623
2014,10055,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.540,7.623
2014,10055,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.013,7.623
2014,10056,010010000,COUNTY OF COOK,0.568,10.793
2014,10056,010010001,CONSOLIDATED ELECTIONS,0.000,10.793
2014,10056,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.069,10.793
2014,10056,020010000,TOWN   BARRINGTON,0.032,10.793
2014,10056,020010002,GENERAL ASSISTANCE   BARRINGTON,0.001,10.793
2014,10056,020010003,ROAD AND BRIDGE BARRINGTON,0.000,10.793
2014,10056,031180000,VILLAGE OF   SOUTH BARRINGTON,0.626,10.793
2014,10056,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.638,10.793
2014,10056,044070000,SCHOOL DISTRICT UNIT  300,6.753,10.793
